Building Name,Address
Network Services Field Station,"1062, Museum Road, Gainesville, FL, 32611"
Bat House,"Museum Road, Gainesville, FL, 32611"
Phelps Lab,"1953, Museum Road, Gainesville, FL, 32611"
UF Clinical & Translational Research Building,"2004, Mowry Road, Gainesville, FL, 32610"
Baughman Center,"1101, Museum Road, Gainesville, FL, 32611"
Baughman Center Administration,"1101, Museum Road, Gainesville, FL, 32611"
Hume Hall,"2100, Museum Road, Gainesville, FL, 32612"
Fraternity Row,"555, Fraternity Drive, Gainesville, FL, 32611"
Swiming & Diving Complex,"2092, Stadium Road, Gainesville, FL, 32611"
Weil Hall,"1949, Stadium Road, Gainesville, FL, 32611"
Reed Laboratory,"1901, Stadium Road, Gainesville, FL, 32611"
Nuclear Training Reactor,"1917, Stadium Road, Gainesville, FL, 32611"
University of Florida Medical Plaza,"1549, Gale Lemerand Drive, Gainesville, FL, 32611"
Jimmy John's,"2220, Southwest Archer Road, Gainesville, FL, 32608"
Mobile Locksmith,"1635, West University Avenue, Gainesville, FL, 32603"
Gainesville Fire Station No. 2,"501, NW 39th Avenue, Gainesville, FL, 32609"
L. Gale Lemerand Athletic Center,"2214, Stadium Road, Gainesville, FL, 32611"
O'Connell Center Storage,"2132, Stadium Road, Gainesville, FL, 32611"
ΒΘΠ,"13, Fraternity Row, Gainesville, FL, 32603"
ΠΚΦ,"11, Fraternity Row, Gainesville, FL, 32603"
ΤΕΦ,"9, Fraternity Row, Gainesville, FL, 32603"
ΔΧ,"6, Fraternity Row, Gainesville, FL, 32603"
ΛΧΑ,"4, Fraternity Row, Gainesville, FL, 32603"
ΔΣΦ,"1, Fraternity Row, Gainesville, FL, 32603"
Gator View,"321, SW 13th Street, Gainesville, FL, 32601"
Gator Parking and Tailgating,"219, NW 19 ST, Gainesville, FL, 32611"
Gator View,"321, SW 13th Street, Gainesville, FL, 32601"
Arbor Lofts,"704, SW 16th Avenue, Gainesville, FL, 32601"
Scott Family Hall,"1645, West University Avenue, Gainesville, FL, 32611"
Heavener Hall,"1325, West University Avenue, Gainesville, FL, 32611"
Criser CIB,"1478, Union Road, Gainesville, FL, 32611"
Engineering Clock Tower,"1949, Stadium Road, Gainesville, FL, 32611"
Weil Chilled Water Plant,"1949, Stadium Road, Gainesville, FL, 32611"
Bus Shelter McCarty Drive North,"1692, McCarty Drive, Gainesville, FL, 32611"
Bus Shelter McCarty Drive South,"1690, McCarty Drive, Gainesville, FL, 32611"
Harrell Medical Education Building,"1104, Newell Drive, Gainesville, FL, 32610"
Shands Facilities Administration,"1600, SW Archer Road, Gainesville, FL, 32608"
Shands Facilities Administration,"1600, SW Archer Road, Gainesville, FL, 32608"
Lacy Rabon Chilled Water Plant,"1600, SW Archer Road, Gainesville, FL, 32608"
Sanitary Lift Station L1,"1103, Gale Lemerand Drive, Gainesville, FL, 32611"
SE Chilled Water Plant,"1064, Center Drive, Gainesville, FL, 32611"
Shands Linen Utility,"1600, SW Archer Road, Gainesville, FL, 32608"
Shands Biohazard Waste Storage,"1600, SW Archer Road, Gainesville, FL, 32608"
Chemical Engineering Digester,"1006, Center Drive, Gainesville, FL, 32611"
Chemical Engineering Solvent Storage,"1006, Center Drive, Gainesville, FL, 32611"
Fiber Hut Aero,"939, Sweetwater Drive, Gainesville, FL, 32611"
Astronomy Teaching Observatory,"998, Sweetwater Drive, Gainesville, FL, 32611"
ROTC Rifle Range,"896, Sweetwater Drive, Gainesville, FL, 32611"
UF Substation #12,"1714, McCarty Drive, Gainesville, FL, 32611"
Vending Machines Shelter,"444, Newell Drive, Gainesville, FL, 32611"
"Field Lab, Forestry","1746, McCarty Drive, Gainesville, FL, 32611"
Norman H. Lipoff Hall,"2020, West University Avenue, Gainesville, FL, 32603"
ΠΒΦ,"2489, West Fraternity Drive, Gainesville, FL, 32603"
ΔΥ,"1814, West University Avenue, Gainesville, FL, 32603"
ΠΚΑ,"1904, West University Avenue, Gainesville, FL, 32603"
Powell Hall,"100, Northwest 20th Terrace, Gainesville, FL, 32603"
University Foundation Annex,"100, Northwest 20th Street, Gainesville, FL, 32603"
UF Foundation Research,"Northwest 20th Terrace, Gainesville, FL, 32603"
UF Foundation Storage,"Northwest 20th Street, Gainesville, FL, 32603"
Gator Wesley Foundation,"1380, West University Avenue, Gainesville, FL, 32603"
ΦΚΤ,"1237, Southwest 2nd Avenue, Gainesville, FL, 32601"
Brain Institute Bridge,"1149, Newell Drive, Gainesville, FL, 32610"
Steak 'n Shake,"1610, SW 13th Street, Gainesville, FL, 32608"
El Jefe's Mexican Cantina,"1702, West University Avenue, Gainesville, FL, 32603"
Baptist Collegiate Ministries,"1604, West University Avenue, Gainesville, FL, 32603"
CVS Pharmacy,"1515, NW 13th Street, Gainesville, FL, 32601"
Blue House,"929, Southwest 13th Street, Gainesville, FL, 32608"
ΔΖ,"903, Southwest 13th Street, Gainesville, FL, 32601"
Bagels & Noodles,"1222, West University Avenue, Gainesville, FL, 32601"
Wallace Building,"2390, Mowry Road, Gainesville, FL, 32611"
Food & Environmental Toxicology Lab,"2187, Mowry Road, Gainesville, FL, 32611"
Agricultural Research Center,"1600, Southwest 23rd Drive, Gainesville, FL"
US Agricultural Department,"1600, Southwest 23rd Drive, Gainesville, FL, 32608"
College Manor,"1231, SW 3rd Avenue, Gainesville, FL, 32601"
ΧΩ,"807, West Panhellenic Drive, Gainesville, FL, 32601"
Publix,"203, Northwest 13th Street, Gainesville, FL, 32601"
Roberts' Stadium Club,"1800, West University Avenue, Gainesville, FL"
O'Connell Center Pool Plant,"2048, Stadium Road, Gainesville, FL, 32611"
Momoyaki,"1702, West University Avenue, Gainesville, FL, 32603"
Parking Garage 14,"978, Gale Lemerand Drive, Gainesville, FL, 32611"
Social 28,"1728, West University Avenue, Gainesville, FL, 32603"
Sanders Football Practice Fields,"150, Gale Lemerand Drive, Gainesville, FL, 32611"
ΑΤΩ,"207, Southwest 13th Street, Gainesville, FL, 32601"
ΦΔΘ,"121, Southwest 13th Street, Gainesville, FL, 32601"
ΦΜ,"1152, East Panhellenic Drive, Gainesville, FL, 32601"
ΖΤΑ,"1142, East Panhellenic Drive, Gainesville, FL, 32601"
ΔΔΔ,"1134, East Panhellenic Drive, Gainesville, FL, 32601"
ΚΔ,"1122, East Panhellenic Drive, Gainesville, FL, 32601"
ΣΚ,"1108, East Panhellenic Drive, Gainesville, FL, 32601"
ΔΦΕ,"1115, Southwest 9th Avenue, Gainesville, FL, 32601"
ΚΣ,"1120, Southwest 9th Road, Gainesville, FL, 32601"
ΑΕΦ,"832, West Panhellenic Drive, Gainesville, FL, 32601"
ΑΧΩ,"820, West Panhellenic Drive, Gainesville, FL, 32601"
ΔΓ,"808, West Panhellenic Drive, Gainesville, FL, 32601"
ΑΟΠ,"819, West Panhellenic Drive, Gainesville, FL, 32601"
ΑΔΠ,"831, West Panhellenic Drive, Gainesville, FL, 32601"
ΚΚΓ,"401, Southwest 13th Street, Gainesville, FL, 32601"
ΓΦΒ,"1235, Southwest 9th Avenue, Gainesville, FL, 32601"
Dasburg House,"450, Village Drive, Gainesville, FL, 32611"
University Lutheran Church,"1826, West University Avenue, Gainesville, FL, 32603"
Stadium Club Parking Garage,"1800, West University Avenue, Gainesville, FL, 32603"
Saint Augustine Catholic Church & Student Center,"1738, West University Avenue, Gainesville, FL, 32603"
UF Plaza,"West University Avenue, Gainesville, FL, 32603"
Racquet Club Dining Center,"222, Fletcher Drive, Gainesville, FL, 32611"
Florida Pool Office/Lockers,"Gainesville, FL, 32611"
Florida Pool Compressor Building,"Gainesville, FL, 32611"
North End Zone Cooling Tower,"157, Gale Lemerand Drive, Gainesville, FL, 32611"
UF Information,"357, Fletcher Drive, Gainesville, FL, 32611"
Computer Power Supply,"343, Fletcher Drive, Gainesville, FL, 32611"
Enterprise Infrastructure & Operations Generator,"331, Fletcher Drive, Gainesville, FL, 32611"
Wertheim Laboratory for Engineering Excellence,"527, Gale Lemerand Drive, Gainesville, FL, 32611"
UAA Storage Building,"2261, Southwest 2nd Avenue, Gainesville, FL, 32611"
Information Booth,"Union Road, Gainesville, FL, 32611"
Bruton-Geer Hall,"351, Village Drive, Gainesville, FL, 32611"
J. Wayne Reitz Union,"686, Museum Road, Gainesville, FL, 32611"
Bookstore & Welcome Center Parking Garage,"686, Reitz Union Drive, Gainesville, FL, 32611"
IFAS Greenhouse,"1786, IFAS Research Drive, Gainesville, FL, 32611"
IFAS Fruit Crops Greenhouse,"1786, IFAS Research Drive, Gainesville, FL, 32611"
